            2MASS_ID      x@y=0.1      x@y=0.3      x@y=0.5      x@y=0.7      x@y=0.9
  2M18085403-2528228       -27.29        17.35        12.31         2.31         0.23
  2M18085403-2528228        30.97       -15.22       -10.33        -3.11         0.82
  2M18085403-2528228         1.73         4.79         1.55        -0.57        -3.48
  2M18085403-2528228      -179.45      -141.12        50.65        43.73        29.82
  2M18085403-2528228       -41.34        13.26         7.81         4.95         2.65
  2M18170483+0100206         0.17        -1.31         4.47        -0.02        -0.08
  2M18170483+0100206        -5.78         6.99         1.30         0.03        -0.03
  2M18170483+0100206       -29.86        29.20         5.62         0.40        -0.18
  2M18170483+0100206       -14.34        14.86         0.66         0.10        -0.12
  2M18170483+0100206       -15.83        17.51         1.06         0.01        -0.05
  2M18510092-0614564        -0.11         0.29         0.06        -0.03        -0.02
  2M18510092-0614564        -0.11         0.27        -0.03        -0.03        -0.02
  2M19074762+3855416        20.95        -2.28        -2.35       -23.72        -8.07
  2M19074762+3855416      -169.30        83.37        13.70         1.18        -1.75
  2M19074762+3855416        31.98        -5.70       -14.17       -22.67       -15.73
  2M19074762+3855416      -176.92        57.86        26.83         7.95        -2.08
  2M19074762+3855416        -5.52        17.03         8.24       -13.35        -6.00
  2M19074762+3855416      -167.67        37.47        46.94        25.26        20.17
  2M19074762+3855416        34.45       -12.16       -22.46       -16.95       -13.03
  2M19074762+3855416      -113.22        65.61         9.89        -6.04        -3.35
  2M19094607+3747391       -23.00        16.38        14.36         6.80         0.05
  2M19094607+3747391        -1.92         1.47         0.79         0.29         0.02
  2M19094607+3747391        -2.49         1.59         1.49         0.67        -0.05
  2M19155697+2727210      -113.52        19.77        16.19        12.73         8.35
  2M19155697+2727210      -156.64        38.61        21.81        11.71         2.38
  2M19155697+2727210       -98.98        31.90        20.52         7.38        -2.23
  2M19155697+2727210      -183.27        28.53        22.25        15.88         9.70
  2M19155697+2727210      -123.57        26.94        19.26        11.32         4.45
  2M19155697+2727210      -101.99        25.77        15.64         8.66         3.40
  2M19155697+2727210      -110.13        23.03        16.13         9.94         6.45
  2M19155697+2727210      -176.94        33.07        21.45        14.61         6.13
  2M19155697+2727210      -183.25         1.32        32.55        23.50        12.07
  2M19155697+2727210      -183.50         5.99        36.55        21.76         8.90
  2M19155697+2727210       -33.21        20.73        11.62         4.01        -5.05
  2M19155697+2727210       -48.92        15.10        10.18         7.05         1.75
  2M19155697+2727210       -72.47        26.76        16.94         6.76        -1.82
  2M19184840+1936377      -171.20        62.87        22.32        13.88         6.72
  2M19184840+1936377        21.48         2.10       -16.84       -17.04       -10.72
  2M19190114+3726432      -181.07        10.81        36.74        23.43        10.50
  2M19405704+4010068        -0.17         2.32         0.06         0.02        -0.05
  2M19405704+4010068        -0.16         2.08         0.08         0.04        -0.03
  2M19405704+4010068        -0.12         0.30        -0.06         0.07         0.00
  2M19405797+4008174        -0.29         3.55         0.38         0.11        -0.03
  2M19405797+4008174        -0.17         0.89        -0.03        -0.03        -0.02
  2M19405797+4008174        -0.17         0.94         0.06        -0.03        -0.02
  2M19410819+4015085        -0.16         0.58         0.03         0.07         0.00
  2M19410819+4015085        -0.11         0.16         0.00        -0.04         0.02
  2M19410819+4015085        -0.11         0.16         0.00         0.00         0.00
  2M19410994+4009056        -0.76         8.82         2.64         0.38        -0.12
  2M19410994+4009056        -0.17         0.64        -0.08        -0.11        -0.17
  2M19410994+4009056        -0.22         2.33         0.08        -0.15        -0.15
  2M19411631+4005508        -0.21         1.53         0.44         0.12        -0.07
  2M19411631+4005508        -0.15         0.06         0.00         0.00         0.00
  2M19411631+4005508        -0.15         0.25         0.00         0.04        -0.03
  2M19411776+4009158        -0.29         3.17         1.21         0.06        -0.12
  2M19411776+4009158        -0.16         1.94         0.00         0.01        -0.12
  2M19411776+4009158        -0.17         2.26         0.00        -0.03        -0.10
  2M19413031+4009005        -0.15        -0.18        -0.03         0.09         0.03
  2M19413031+4009005        -0.15        -0.29         0.00         0.00         0.00
  2M19413031+4009005        -0.10        -0.34        -0.09         0.04        -0.03
  
